"pid";"pname";"market_price";"shop_price";"image";"pdesc";"is_hot";"pdate";"csid"
101;"CHANEL LE TEINT ULTRA TENUE";60.0;50.0;"products/3/cs10002.jpg";"Experience flawless wear that moves with you. Achieve a long-lasting, even foundation finish with this soft, velvet powder formula—the sleek refillable compact includes a double-sided applicator for easy touch-ups throughout the day.";1;"2016-12-14 21:24:09";16
105;"SK-II R.N.A. Power Radical New Age Cream, 2.7 oz.";230.0;220.0;"products/3/cs10001.jpg";"Improves multiple signs of aging, giving you a new level of firmness from multiple angles, so that skin becomes firmer, smoother, tighter, and more radiant. After one jar, fine lines appear less defined. ";1;"2016-12-11 21:07:17";17
106;"R+Co Dallas Thickening Shampoo, 8.5 oz.";24.0;20.0;"products/3/cs10003.jpg";"What's not to love about big, beautiful, bouncy hair? Start with Dallas Shampoo and finish with Dallas Conditioner to add vitality to fine, flat hair.";0;"2016-12-11 21:08:56";18
107;"NuFace Glam on the Go Facial Toning Gift Set ";283.0;199.0;"products/3/cs10004.jpg";"This Set Contains:
NuFACE mini Facial Toning Device
NuFACE Gel Primer, 2 fl. oz.
Collagen Booster Infusion Serum, 1 fl. oz.
Power Adapter
User Manual
Exclusive Tips & Tricks";1;"2016-12-11 21:10:26";19
108;"Canada Goose Montebello Parka with Fur Hood";800.0;800.0;"products/3/cs10005.jpg";"Canada Goose Montebello parka with 625 power fill power white duck down; accented with military buttons.
Drawcord hood with dyed coyote (Canada) fur ruff.
Approx. 28""L from shoulder to hem.";1;"2016-12-11 21:12:05";1
109;"Fendi Leather Face Bi-Fold Wallet, Black";500.0;499.0;"products/3/cs10006.jpg";"Fendi Face bi-fold wallet in calfskin leather.
Metal mouth and eyes.
Contrast leather interior with embossed logo at bottom corner.
Two currency compartments, eight card slots, two slip pockets.
Made in Italy.";1;"2016-12-11 21:13:23";2
110;"Gucci Vintage Palm Jersey Tee, White, Size 4-12";135.0;130.0;"products/3/cs10007.jpg";"Gucci graphic tee in cotton jersey with palm print with ""l'aveugle par amour"" script.
Contrast trim through neck and cuffs.
Crew neckline.
Short sleeves.
Relaxed fit.
Made in Italy.";1;"2016-12-11 21:14:43";5
111;"Stella McCartney Kids Misty Star Patch Tulle Dress ";150.0;120.0;"products/3/cs10008.jpg";"Color: Cream
Imported
Button closure
Made in USA or Imported";1;"2016-12-11 21:17:47";3
112;"Burberry Infant Boys' Check Long-Sleeve Shirt, New Classic";120.0;110.0;"products/3/cs10009.jpg";"Signature check poplin.
Long sleeves; thin one-button cuffs.
Button-flap pockets at chest.
Shirttail hem.
Cotton; self lining; washable.
Imported.";1;"2016-12-11 21:19:49";4
113;"In the Company of Women";35.0;28.0;"products/3/cs10010.jpg";"“I want to rip out every page of this glorious book and hang them on my wall so that I can be surrounded by these incredible women all day long.”
—Emma Straub, New York Times bestselling author of The Vacationers and Modern Lovers";1;"2016-12-11 21:23:35";20
114;"Chicago in Quotations";11.0;11.0;"products/3/cs10011.jpg";"Author 
Publisher Bodleian Library, University of Oxford
Publication Date 2016-11-15
Section Travel Lit / Adventure / US History";1;"2016-12-11 21:25:58";21
115;"Forever Painless";29.0;27.9;"products/3/cs10012.jpg";"Author Miranda Esmonde-White
Publisher Harper Wave
Publication Date 2016-11-15
Section Health / Fitness / Med Ref";1;"2016-12-11 21:27:31";22
116;"JavaScript: 20 Lessons to Successful Web Development";40.0;40.0;"products/3/cs10013.jpg";"Author Robin Nixon
Publisher McGraw-Hill Osborne Media
Publication Date 2015-01-27
Section Computers";1;"2016-12-11 21:28:52";23
117;"CSS & CSS3: 20 Lessons to Successful Web Development";40.0;40.0;"products/3/cs10014.jpg";"Author Robin Nixon
Publisher McGraw-Hill Osborne Media
Publication Date 2015-01-27
Section Computers";1;"2016-12-11 21:29:54";23
118;"Medicine: The Definitive Illustrated History";40.0;40.0;"products/3/cs10015.jpg";"Author DK
Publisher DK
Publication Date 2016-10-11
Section Medicine";0;"2016-12-11 21:31:20";22
119;" Ultimate Ableton Live (1 Season)";41.0;40.0;"products/3/cs10016.jpg";"In this group of lessons, we will focus on mastering the layout, interface, and features of Ableton Live. We will also get started producing with a few projects to get up and running quickly.";1;"2016-12-11 21:40:45";6
120;" Certified Cloud Security Professional (CCSP) ";50.0;50.0;"products/3/cs10017.jpg";"Understanding its information security risks and mitigation strategies is critical. Legacy approaches are inadequate, and organizations need competent, experienced professionals equipped with the right cloud security knowledge and skills to be successful.";1;"2016-12-11 21:42:09";9
121;"Aplia for Mankiw's Principles of Economics, 7th Edition";125.0;120.0;"products/3/cs10018.jpg";"This course requires a course key, in addition to an access code. The course key is generally provided by an instructor. You will not be able to access the content without the course key.";1;"2016-12-11 21:56:39";7
122;"Review: Red Copper Pan Review";1.0;0.0;"products/3/cs10019.jpg";"Red Copper - Revolutionary Non-Stick Ceramic Copper Cookware! - As Seen on TV. Has food sticking to your pans gotten completely out of hand? Are you tired of scraping, scrubbing, and all those scratches?";1;"2016-12-11 22:18:49";10
124;"TUA: Tony Evans";0.99;0.0;"products/3/cs10021.png";"This app needs permission to access:
Access fine (e.g., GPS) location
Access the list of accounts in the Accounts Service";1;"2016-12-14 23:58:59";13
125;"MrMC";5.99;2.99;"products/3/cs10022.png";"This app needs permission to access:
Open network sockets
Access information about networks";1;"2016-12-15 00:00:17";14
126;"Stars and Stripes";0.99;0.0;"products/3/cs10023.png";"This app needs permission to access:
Access coarse (e.g., Cell-ID, Wi-Fi) location
Open network sockets";1;"2016-12-15 00:01:23";15
127;"AirPlay/DLNA Receiver (PRO)";3.99;2.99;"products/3/cs10020.png";"";0;"2016-12-15 00:06:16";12
128;"Splendid Women's Monet Poncho";200.0;100.0;"products/3/cs10024.jpg";"40% Wool, 25% Viscose, 25% Nylon, 10% Cashmere
Imported
Dry Clean Only
Contrast hem
Cozy and soft";1;"2016-12-15 13:18:25";1
129;"Vader's Little Princess";30.0;20.0;"products/3/cs10025.jpg";"";1;"2016-12-15 20:34:16";12
